Entity,Code,Year,"Land (crop, pasture) ($)",Protected areas ($),"Fossil energy resources (oil, natural gas, coal) ($)",Metals and minerals ($),Net foreign assets ($),Produced capital ($),"Forest, timber ($)","Forest, non-timber ($)",Human capital ($)
Honduras,HND,2005,4385.85,3169.35,0,78.64,-999.56,6791.23,392.69,2128.45,22792.54
Honduras,HND,2010,5308.6,3253.64,0,318.59,-896.75,7970.42,420.65,1749.37,26914.23
Honduras,HND,2014,5518.66,2875.22,0,222.97,-1619.66,8427.21,485.59,1496.35,27372
Hungary,HUN,1995,4049.55,409.17,608.24,119.7,-4979.08,42045.9,538.61,731.28,63672.05
Hungary,HUN,2000,3532.41,470.93,448.28,25.35,-7366.43,47532.16,386.28,762.81,70955.61
Hungary,HUN,2005,3092.39,622.54,551.56,10.45,-11272.51,55203.51,321.36,798.76,88009.19
Hungary,HUN,2010,3194.99,974.44,409.33,6.88,-14210.2,62370.01,338.99,831.31,87893.12
Hungary,HUN,2014,3609.88,1334.65,411.35,2.1,-9222.19,65561,414.49,850.14,102557.45
Iceland,ISL,1995,7573.38,700.46,0,0,-18205.88,168945.26,0,112.34,534873.85
Iceland,ISL,2000,5353.25,478.06,0,0,-34613.2,184103.26,0,137.08,659909.36
Iceland,ISL,2005,3999.76,1057.49,0,0,-41475.52,217365.17,0,164.64,790158.03
Iceland,ISL,2010,4636.6,1472.56,0,0,-316425.27,280158.07,0,179.7,723853.35
Iceland,ISL,2014,5590.27,3189.87,0,0,-187717.26,270983.02,3.95,195.83,733611.53
India,IND,1995,2253.01,82.87,176.83,34.87,-138.07,2059.47,24.84,47.05,4191.74
India,IND,2000,2246.86,87.92,181.74,35.2,-125.49,2340.23,21.97,43.4,4941.26
India,IND,2005,2203.92,82.23,343.57,87.18,-146.66,2973.35,18.01,41.37,6385.89
India,IND,2010,2880.52,94.98,664.8,360.84,-315.06,4189.44,29.99,39.64,7390.23
India,IND,2014,3464.31,94.37,748.18,357.23,-444.48,5161.34,36.66,38.06,8755.39
Indonesia,IDN,1995,3824.16,1122.34,769.98,204.85,-1334.93,5815.18,533.86,478.58,21666.48
Indonesia,IDN,2000,3661.65,982.7,783.54,295.39,-1589.19,7537.74,604.2,406.47,12416.73
Indonesia,IDN,2005,3404.36,623.59,1401.52,540.21,-1054.09,9191.81,412.05,374.1,14454.66
Indonesia,IDN,2010,3902.59,661.33,2204.14,952.73,-1148.48,13381.47,413.31,338.06,20001.04
Indonesia,IDN,2014,4607.11,1026.61,2164.89,956.97,-1524.01,15298.83,375.48,311.69,23701.11
Iraq,IRQ,1995,1897.51,3.61,2860.06,0,0,1200.99,3.04,42.66,5645.33
Iraq,IRQ,2000,1558.5,3.13,10611.46,0,0,1436.16,3.96,36.9,4382.53
Iraq,IRQ,2005,2329.91,15.32,38898.14,0,-9198.58,8018.87,5.13,32.48,10194.22
Iraq,IRQ,2010,2628.89,31.53,64475.45,1.87,13.56,10134.33,6.76,28.42,13969.76
Iraq,IRQ,2014,2956.91,33.79,68488.95,9.13,200.85,14510.39,6.67,24.87,15473.22
Ireland,IRL,1995,21943.54,726.51,140.75,0,-10525.47,82220.21,304.76,1149.8,332193.37
Ireland,IRL,2000,17122.28,1059.89,203.38,5.8,-3636.36,133962.11,325.6,1258.96,474592.21
Ireland,IRL,2005,11973.83,855.31,212.91,22.49,-12435.97,195076.15,244.43,1260.21,529557.32
Ireland,IRL,2010,11241,1010.98,134.37,528.63,-47059.02,179667.23,205.88,1200.56,479463.13
Ireland,IRL,2014,12890.19,1190.79,106.51,260.96,-51620.37,189308.74,240.77,1222.82,473655.57
Italy,ITA,1995,7280.58,1601.99,265.05,0.45,-3010.38,140126.79,85.71,1259.6,253504.82
Italy,ITA,2000,6455.53,2030.34,239.57,0.25,-5624.44,154306.23,86.4,1318.82,253959.75
Italy,ITA,2005,5487.17,1865.08,378.11,0.52,-6465.43,170173.47,61.46,1355.81,262678.06
Italy,ITA,2010,5004.12,1648.46,437.45,1.89,-10880.27,188386.24,69.64,1366.62,262628.69
Italy,ITA,2014,4816.32,1856.39,526.65,0,-10558.03,188054.69,55.55,1364.4,241349.57
Jamaica,JAM,1995,8402.23,516.63,0,6920.28,-3747.73,31362.08,135.26,533.34,35969.41
Jamaica,JAM,2000,4663.83,631.73,0,2650.03,-2764.66,27697.95,51.15,507.91,37067.38
Jamaica,JAM,2005,3836.54,917.17,0,2082.12,-4242.47,29567.79,37.02,490.69,43042.49
Jamaica,JAM,2010,4068.32,707.46,0,2075.56,-6161.31,29620.18,54.65,476.38,41651.41
Jamaica,JAM,2014,4304,656.91,0,1299.55,-7235.43,30313.01,76.9,467.07,41884.18
Japan,JPN,1995,1236.97,293.07,7.86,2.15,4948.37,105388.15,143.3,1734.27,428698.38
Japan,JPN,2000,1098.08,330.8,6.24,0.38,8139.81,126731.6,96.75,1712.53,426462.33
Japan,JPN,2005,1090.53,331,11.31,3.14,11657.14,143732.85,68.52,1704.1,371139.9
Japan,JPN,2010,1413.71,407.26,15.74,12.23,19887.92,163411.96,103.35,1702.26,358425.2
Japan,JPN,2014,1452.75,426.42,22.85,19.94,23750.84,179276.96,105.02,1714.38,377731.19
Jordan,JOR,1995,17009.08,163.66,15.47,0,-2489.52,13349.06,15.37,25.49,20826.76
Jordan,JOR,2000,14784.64,213.52,22.59,0,-2836.74,14668.01,12.3,23.1,21561.08
Jordan,JOR,2005,7095.39,198.68,32.61,0,-7104.93,17242.53,10.11,20.65,25365.59
Jordan,JOR,2010,8296.04,206.66,44.74,2831.32,-3528.73,17658.82,10.81,16.89,28824.73
Jordan,JOR,2014,6321.37,193.2,37.67,2296.68,-4477.76,17576.87,11.89,14.85,27312.17
Kazakhstan,KAZ,1995,20293.17,442.5,7103.03,1704.62,-610.07,41522.68,21.36,39.7,32282.43
Kazakhstan,KAZ,2000,15128.41,424.78,8516.01,1284.18,-3431.2,42288.13,24.38,41.83,32229.83
Kazakhstan,KAZ,2005,14677.14,421.22,26610.24,3132.54,-3236.04,50480.76,37.37,40.76,46428.88
Kazakhstan,KAZ,2010,13156.12,412.76,49837.11,8239.1,-2843.97,43222.99,11.06,37.51,59747.96
Kazakhstan,KAZ,2014,12694.15,425.51,46699.95,6740.31,-2460.74,40149.59,10.4,35.41,76616.8
Kenya,KEN,1995,7772.22,1376.79,0,0.32,-746.68,5277.87,77.55,50.22,7662.94
Kenya,KEN,2000,5574.8,1021.31,0,0.1,-297.94,3093.62,42.06,38.01,6847.55
Kenya,KEN,2005,5966.89,1102.68,0,2.59,-169.35,3547.17,45.25,38.01,7183.98
Kenya,KEN,2010,5681.75,1172.77,0,11.04,-138.53,3044.79,48.09,34.82,8437.82
Kenya,KEN,2014,5537.05,1133.23,0,24.89,-270.81,3356.08,43.08,32.39,9556.28
Kuwait,KWT,1995,663.27,107.57,274998.16,0,87369.32,118397,5.77,2.57,306019.44
Kuwait,KWT,2000,1125.03,174.42,371823.58,0,91362.88,109630.5,1.76,2.55,280885.38
Kuwait,KWT,2005,1028.86,623.55,511200.86,0,108202.79,94725.61,1.76,2.49,349618.19
Kuwait,KWT,2010,1008.38,900.57,586171.37,0,165591.31,76326.24,1.31,2.07,279186.88
Kuwait,KWT,2014,1221.37,1142.06,588862.14,0,185407.68,74879.16,1.41,1.69,271628.03
Kyrgyzstan,KGZ,1995,6203.27,617.42,114.93,28.52,-284.32,3373.29,4.43,2.89,5477.08
Kyrgyzstan,KGZ,2000,7981.02,834.43,77.65,36.22,-1113.76,4305.65,6.04,2.72,5530.32
Kyrgyzstan,KGZ,2005,9434.69,990.84,157.2,571.48,-647.85,4655.64,4.97,2.62,5297.12
Kyrgyzstan,KGZ,2010,10145.08,1063.86,192.01,876.33,-452.67,6075.27,4.38,1.93,6035.1
Kyrgyzstan,KGZ,2014,9987.06,1086.96,166.78,1323.11,-1028.67,6158.75,4.56,1.72,6728.6
Laos,LAO,1995,3665.96,2918.26,0.02,0,-807.86,1126.65,780.15,1205.61,7020.21
Laos,LAO,2000,4666.64,4960.57,4.73,0,-1329.5,1429.61,932.67,1060.25,8609.41
Laos,LAO,2005,6634.12,7276.92,36.86,479.63,-1305.81,3263.42,816.26,1006.55,7920.63
Laos,LAO,2010,6838.53,7944.82,96.8,2546.57,-1530.95,3856.29,831.26,975.45,10991.39
Laos,LAO,2014,7954.33,9034.05,74.92,3649.49,-2324.29,5278.86,925.51,951.7,13762.39
Latvia,LVA,1995,4910.82,1321.98,0,0,-161.99,41099.26,2101.88,5432.3,43710.64
Latvia,LVA,2000,3178.34,1469.98,0,0,-1772.42,47583.64,4507.49,5762.37,54615.98
Latvia,LVA,2005,3026.37,1360.8,0,0,-6653.14,76284.22,4702.4,6199.05,87806.97
Latvia,LVA,2010,3684.38,1752.45,0,0,-10918.42,85502.28,3675.7,6730.86,88433.84
Latvia,LVA,2014,4790.63,2387.23,0,0,-9049.46,113745.92,4476.03,7084.57,113471.54
Lebanon,LBN,1995,9216.93,43.05,0,0,-270.98,41661.94,21.61,100.37,39391.43
Lebanon,LBN,2000,6589.39,69.07,0,0,-5246.73,36486.9,11.06,94.11,41792.68
Lebanon,LBN,2005,4238.58,62.54,0,0,-9351.83,33273.11,2.63,79.57,37490.65
Lebanon,LBN,2010,5358.52,67.86,0,0,-8984.29,33278.77,3.44,73.36,49109.81
Lebanon,LBN,2014,4007.32,63.39,0,0,-12150.89,31015.22,3.29,56.83,42153.19
Liberia,LBR,1995,3899.41,145.62,0,419.98,-4657.37,3462.52,3429.38,499.87,1184.44
Liberia,LBR,2000,2885.59,67.88,0,1.96,-4856.36,2290.81,2429.4,348.22,3933.18
Liberia,LBR,2005,2758.8,48.66,0,1.65,-4301.74,1461.9,3797.81,298.01,2879.17
Liberia,LBR,2010,2854.02,64.84,0,37.84,-1295.78,914.2,2135.74,237.94,3136.52
Liberia,LBR,2014,2508.74,85.82,0,2426.78,-1664.9,1219.31,1807.14,208.27,3635.55
Lithuania,LTU,1995,2934.4,229.57,22.91,0,-437.21,30462.41,1135.89,2406.92,45174.59
Lithuania,LTU,2000,4711.4,686.6,48.78,0,-2706.5,37256.14,1544.56,2543.25,61346.37
Lithuania,LTU,2005,3670.75,915.12,163.59,0,-4720.92,46849.13,1311.14,2812.68,90000.2
Lithuania,LTU,2010,4679.69,1111.59,191.11,0,-7613.29,54293.61,1348.54,3086.94,88070.56
Lithuania,LTU,2014,6096.31,1585.34,174.31,0,-7047.28,63254.15,1629.17,3272.56,100081.42
Luxembourg,LUX,1995,26220.26,719.71,0,0,98779.12,265989.58,419.06,2087.9,727729.85
Luxembourg,LUX,2000,12337.79,1073.75,0,0,74622.74,302286.45,414.11,1965.67,887446.8
Luxembourg,LUX,2005,5600.67,1066.4,0,0,20846.75,359118.95,405.15,1843.72,911264.56
Luxembourg,LUX,2010,4762.11,1291.3,0,2158.01,-24215.98,357039.87,414.57,1691.72,830483.29
Luxembourg,LUX,2014,3927.32,1152.07,0,1988.65,38653.84,359385.77,328.81,1541.6,881628.92
Macedonia,MKD,1995,8049.2,1251.43,107.79,216.49,-827.97,11919.27,263.16,853.84,24666.04
Macedonia,MKD,2000,5354.93,838.14,49.81,142.22,-1230.87,12929.18,217.02,849.41,22566.85
Macedonia,MKD,2005,5289.21,746.09,452.33,600.02,-1908.71,14266.66,175.86,851.43,21095.28
Macedonia,MKD,2010,6401.95,1007.62,1026.86,3829.82,-2949.82,17480.83,184.52,863.25,25033.88
Macedonia,MKD,2014,6479.51,796,758.78,2347.2,-2945.21,18968.53,177.07,857.77,24770.28
Madagascar,MDG,1995,5292.67,125.88,0,0.1,-563.03,1417.32,821.81,129.76,4382.73
Madagascar,MDG,2000,3892.72,89.41,0,0.02,-410.43,1399.97,629.81,108.09,4082.98
Madagascar,MDG,2005,2854.08,77.41,0,0.19,-240.06,1468.07,596.22,91.72,3909.37
Madagascar,MDG,2010,3639.67,113.19,0,40.04,-312.79,1181.39,797.55,77.82,3824.58
Madagascar,MDG,2014,3842.66,132.58,0,137.62,-430.38,919.01,782.22,69.24,3784.29
Malawi,MWI,1995,1664.43,239.76,0,0,-434.01,1302.65,392.43,67.43,2295.63
Malawi,MWI,2000,2394.95,194.88,1.66,0,-446.55,1273.94,403.92,56.57,2337.34
Malawi,MWI,2005,2183.07,169.21,1.78,0,-252.39,711.82,285.37,47.37,2349.54
Malawi,MWI,2010,3628.85,279.91,2.88,0,-192.34,845.69,326.35,38.9,3204.93
Malawi,MWI,2014,4782.73,431.22,2.31,1.73,-141.97,939.05,390.28,33.65,4003.47
Malaysia,MYS,1995,2666.87,2145.86,3612.24,106.11,-3093.85,22154.86,17202.93,3697.89,81112.91
Malaysia,MYS,2000,2211.03,1849.53,3697.32,15.9,-2488.3,23830.55,10141.08,3213.9,88778.3
Malaysia,MYS,2005,3910.81,2680.42,6493.41,50.85,-1128.88,22225.4,7292.31,2823.21,96977.61
Malaysia,MYS,2010,6821.08,3520.63,7314.89,182.73,95.51,24638.12,9382.49,2742.94,159716.21
Malaysia,MYS,2014,8385.21,3453.01,7064.1,830.08,-172.5,29988.82,6338.85,2586.05,180729.23
Maldives,MDV,1995,546.76,0,0,0,-877.78,6825.7,1.54,2.8,10827.54
Maldives,MDV,2000,443.18,0,0,0,-813.09,7979.77,1.13,2.49,16572.53
Maldives,MDV,2005,494.47,0,0,0,-1788.41,11250.52,1.11,2.22,25141.15
Maldives,MDV,2010,442.09,0,0,0,-4682.04,18893.98,1.88,1.94,34315.85
Maldives,MDV,2014,396.85,0,0,0,-6177.05,16861.78,2.22,1.78,33905.47
Mali,MLI,1995,6335.47,641.75,0,35.05,-551.41,1765.36,284.45,47.15,3122.64
Mali,MLI,2000,6011.98,543.96,0,20.14,-542.72,1783.55,226.56,38.57,3435.03
Mali,MLI,2005,6379.58,857.4,0,411.13,-396.42,1399.95,136.23,30.86,4103.91
Mali,MLI,2010,8573,1634.28,0,780.83,-195.28,1722.53,88.71,24.33,4344.08
Mali,MLI,2014,8266.23,1741.67,0,956.21,-207.85,1998.56,56.51,20.26,4333.71
Malta,MLT,1995,1967.09,36.11,0,0,5076.32,44250.08,0,1.02,140669.84
Malta,MLT,2000,2066.22,77.88,0,0,1003.93,48809.27,0,0.99,170066.7
Malta,MLT,2005,1778.19,88.21,0,0,6903.84,57300.91,0,0.96,173608.49
Malta,MLT,2010,1641.23,120.47,0,0,2485.73,68107.03,0,0.93,170422.41
Malta,MLT,2014,1521.01,132.87,0,0,8130.68,75153.48,0,0.9,218865.27
Mauritania,MRT,1995,6386.9,90.41,0,1232.03,-1785.15,5313.09,115.24,47.64,6442.76
Mauritania,MRT,2000,7530.16,112.15,0,1989.84,-2115.96,3777.78,88.06,35.52,6263.01
Mauritania,MRT,2005,7583.66,137.63,0,3158.58,-1914.92,4215.6,60.68,25.72,9409.79
Mauritania,MRT,2010,7789.38,164.52,1721.61,10007.08,-1503.92,4395.92,45.51,20.47,8703.11
Mauritania,MRT,2014,7060.18,164.92,319.29,9973.9,-2454.09,4891.28,38.32,17.45,9368.39
Mauritius,MUS,1995,3555.21,23.57,0,0,-465.94,17602.79,23.64,88.26,42384.41
Mauritius,MUS,2000,4769.67,46,0,0,-663.67,19015.48,22.83,84.27,51272.18
Mauritius,MUS,2005,3475.5,44.76,0,0,52717.41,21311.32,15.84,74.24,45926.72
Mauritius,MUS,2010,2905.25,54.18,0,0,115216.29,28097.61,18.37,73.31,46170.42
Mauritius,MUS,2014,2842.03,55.8,0,0,10345.7,32172.83,8.68,73,51520.15
Mexico,MEX,1995,7334.37,536.88,4030.22,193.88,-3875.65,29775.07,292.49,2681.11,75278.67
Mexico,MEX,2000,6132.62,668.87,2643.02,140.25,-2879.9,30576.15,245.44,2428.46,80314.76
Mexico,MEX,2005,5255.64,758.78,2767.09,195.05,-3188.11,33906.7,95.62,2249,80902.47
Mexico,MEX,2010,5386.71,875.04,4367.43,901.47,-3551.97,37693.64,145.93,2062.68,69673.53
Mexico,MEX,2014,5663.55,1008.04,4420.93,1375.85,-3409.77,39917.98,220.25,1940.59,63308.15
Moldova,MDA,1995,8325.1,130.93,3.52,0,-371.31,13621.91,88.07,131.98,9390.87
Moldova,MDA,2000,5375.31,99.65,0.79,0,-1232.62,12022.21,78.84,134.3,7896.27
Moldova,MDA,2005,5619.63,149.71,0.66,0,-878.38,14608.8,69.87,152.33,13025.14
Moldova,MDA,2010,4596.67,151.64,0.61,0,-1328.16,13358.74,61.84,163.48,14791.36
Moldova,MDA,2014,4482.91,177.57,0.29,0,-1582.31,14212.8,65.19,171.55,17852.41
Mongolia,MNG,1995,28175.15,3064.46,335.11,2322.2,-420.99,15996.34,592.31,146.67,7471.06
Mongolia,MNG,2000,27664.03,4243.64,312.99,1916.98,-1260.06,12630.7,450.94,135.84,7404.68
Mongolia,MNG,2005,24717.78,4805.25,1592.49,3851.82,-1399.64,18190.16,297.98,124.41,10502.41
Mongolia,MNG,2010,21195.73,4429.7,6955.34,11325.35,-1770.63,15736.09,268.71,133.61,11282.76
Mongolia,MNG,2014,22320.15,5042.63,10084.65,12235.01,-8164.55,16486.87,243.29,120.83,20634.68
Morocco,MAR,1995,4715.83,21.01,4.01,73.99,-797.14,6638.79,125.23,78.91,10801.74
Morocco,MAR,2000,4283.57,28.07,2.09,172.09,-783.04,7728.65,126.01,74.32,11469.58
Morocco,MAR,2005,4482.91,607.14,1.73,164.97,-472.47,9469.38,99.51,76.6,13526.53
Morocco,MAR,2010,5615.82,1474.16,3.07,1978.8,-1325.43,11634.1,60.7,76.13,15238.82
Morocco,MAR,2014,7065.23,2799.3,3.38,2331.55,-1990.18,13616.46,100.5,71.65,16490.4
Mozambique,MOZ,1995,909.05,49.15,1.24,0.91,-451.46,621.48,784.24,447.55,2060.57
Mozambique,MOZ,2000,1303.17,99.67,0.31,0.14,-562.09,640.72,727.4,379.84,2772.56
Mozambique,MOZ,2005,1296.25,106.05,20.14,0.34,-541.61,723.22,785.57,319.54,2308.19
Mozambique,MOZ,2010,2238.07,96.83,114.29,2.53,-576.16,832.22,1008.03,269.9,2979.39
Mozambique,MOZ,2014,2384.76,86.27,330.48,2.44,-1116.67,1211.67,1096.35,236.08,3486.34
Namibia,NAM,1995,11401.21,3110.89,0,543.04,106.01,9590.72,319.2,5226.46,31700.6
Namibia,NAM,2000,7395.29,2194.03,0,204.65,-523.73,8363.5,348.63,4357.26,26963.6
Namibia,NAM,2005,7108.43,3013.48,0,345.12,329.46,9897.84,439.73,3891.36,27432.72
Namibia,NAM,2010,8599.34,4630.64,0,2206.42,1257.26,11619.33,651.3,3421.66,45369.7
Namibia,NAM,2014,8026.81,5268.11,0,1532.19,743.6,12695.76,677,2996.56,52457.65
Nepal,NPL,1995,3382.35,1288.55,0,0,-151.07,1110.67,30.96,66.12,3797.51
Nepal,NPL,2000,3275.81,1774.42,0.08,0,-129.72,1408.25,41.41,53.31,4598.12
Nepal,NPL,2005,3515.46,2278.04,0.41,0,-83.56,1682.47,40.75,46.26,4536.06
Nepal,NPL,2010,4187.76,2962.55,0.97,0,0.87,2025.76,86.32,43.9,5758.1
Nepal,NPL,2014,4477.08,896.56,0.78,0,88.59,2333.62,128.23,41.88,6401.63
Netherlands,NLD,1995,6876.39,89.41,2869.81,0,4503.71,166197.11,43.27,284.81,414645.87
Netherlands,NLD,2000,5581.42,137.84,2388.38,0,-7842.17,196048.03,37.71,282.35,442057.32
Netherlands,NLD,2005,4552.17,138.32,3875.91,0,-3355.67,220271.83,27.83,279.35,415996.47
Netherlands,NLD,2010,4271.44,170.78,4293.04,0,3836.65,247330.24,31.91,280.4,480668.3
Netherlands,NLD,2014,4815.77,177.46,4223.86,0,31910.1,234414.6,33.15,278.03,516543.47
Nicaragua,NIC,1995,4288.98,2715.52,0,9.91,-3158.99,5990.27,785.4,792.76,10419.53
Nicaragua,NIC,2000,3329.83,2435.39,0,1.78,-2048.67,6909.01,386.89,666.24,10986.84
Nicaragua,NIC,2005,4180.63,3035.79,0,47.48,-1920.79,7835.14,267.9,565.45,14782.96
Nicaragua,NIC,2010,5385.45,4628.79,0,156.34,-1467.53,8010.21,311.54,476.56,14720.88
Nicaragua,NIC,2014,6741.32,5330.04,0,482.03,-2193.48,9075.3,496.5,454.68,16697.56
Niger,NER,1995,4794.17,997.55,12.75,0.52,-264.06,2179.55,71.71,57.66,2496.57
Niger,NER,2000,5158.88,976.31,7.93,0.82,-282.64,2269.73,53.97,39.03,2432.67
Niger,NER,2005,5234.44,1686.9,13.18,14.28,-163.9,2043.66,40.09,30.97,2445.63
Niger,NER,2010,6669.43,2410.06,16.94,37.8,-167.76,2224.26,34.54,24.38,994.47
Niger,NER,2014,5784.25,2421.01,201.75,33.12,-277.9,2369.37,29.83,19.92,1041.38
Nigeria,NGA,1995,23669.77,950.97,9564.75,3.01,-2006.62,4320.22,1500.56,112.47,10047.09
Nigeria,NGA,2000,14983.6,910.14,7560.06,0.29,-1077.21,3820.18,784.52,85.86,8835.65
Nigeria,NGA,2005,12290.99,534.99,9185.79,0.8,-451.45,10062.68,406.67,63.78,9682.29
Nigeria,NGA,2010,9125.61,475.99,10788.31,7.33,-71.09,5045.16,260.56,45.54,19565.38
Nigeria,NGA,2014,4587.58,350.21,7857.21,12.42,-340.66,3851.4,121.94,33.5,20934.44
Norway,NOR,1995,10643.69,8644.88,31984.16,101.85,2681.48,323180.49,1734.43,4907.82,903365.98
Norway,NOR,2000,8484.12,9949.25,45667.38,10.69,24274.01,323740.22,1342.33,4760.07,889540.23
Norway,NOR,2005,6372.78,9311.85,78665.67,36.07,51686.73,354610.37,1007.05,4615.82,857340.08
Norway,NOR,2010,5380.59,10251.73,89307.42,781.33,85039.16,400287.06,906.45,4368.34,903333.32
Norway,NOR,2014,4802.2,10081.32,81692.46,1558.31,140017.68,423905.36,889.08,4160.22,1004649.45
Oman,OMN,1995,3402.15,2864.64,59609.49,11.55,-1286.23,78529.2,1.16,1,131500.02
Oman,OMN,2000,3907.13,6229.98,81230.42,8.23,-2666.9,67036.47,1.27,0.98,149214.23
Oman,OMN,2005,2962.54,3704,109218.08,13.08,4132.4,52016.25,0.71,0.87,138588.03
Oman,OMN,2010,2897.71,3707.88,104541.32,107.16,8432.43,59445.09,0.59,0.74,154451.69
Oman,OMN,2014,2766.4,3370.03,89037.36,63.4,8013.14,49044.66,0.51,0.52,125277.67
Pakistan,PAK,1995,5350.8,350.6,86.36,1.77,-463.11,2718.88,16.52,5.08,6931.18
Pakistan,PAK,2000,5350.08,350.18,100.83,0.04,-426.5,2282.04,10.89,4.1,11032.18
Pakistan,PAK,2005,4608.45,320.64,246.13,5.23,-322.03,2887.91,9.69,3.33,11722.83
Pakistan,PAK,2010,4786.07,359.26,338.73,21.49,-437.47,2777.9,10.03,2.66,12504.86
Pakistan,PAK,2014,5331.56,345.12,274.06,19.46,-416.13,3028.67,9.9,2.2,13586.83
Palestine,PSE,1995,3127.26,0,0,0,0,8423.4,0,4.13,9947.57
Palestine,PSE,2000,5530.03,0,0,0,0,12058.77,0,3.5,14689.02
Palestine,PSE,2005,7136.77,0,0,0,0,13360.24,0,3.11,15197.46
Palestine,PSE,2010,6264.52,0,0,0,0,11048.84,0,2.71,13866.96
Palestine,PSE,2014,4254,0,0,0,0,11532.8,0,2.4,14778.22
Panama,PAN,1995,5274.68,2891.37,0,0,-3688.22,12863.31,319.62,6783.57,51300.98
Panama,PAN,2000,4663.18,2642.22,0,1.48,-5359.41,16314.91,234.74,6025.56,68635.29
Panama,PAN,2005,4032.49,2199.04,0,0,-6060.86,16687.17,181.61,5402.1,67799.3
Panama,PAN,2010,4741.2,2852.33,0,92.42,-7493.22,28732.25,290.2,4866.71,82595.02
Panama,PAN,2014,4934.25,3171.85,0,166.68,-10274.57,30378.14,370.47,4492.26,102886.36
Papua New Guinea,PNG,1995,26057.04,1322.8,615.31,4105.02,-1164.19,4781.53,1871.34,1053.64,9810.17
Papua New Guinea,PNG,2000,20933.04,1601.17,1544.63,3119.4,-1153.08,4629.23,1960.71,924.23,7681.66
Papua New Guinea,PNG,2005,20008.92,1412.75,1839.38,4738.15,-464.71,4357.43,1649.99,815.65,7245.17
Papua New Guinea,PNG,2010,22939.2,1535.76,956,8542.12,-832.16,4334.2,2183.6,724.77,8512.87
Papua New Guinea,PNG,2014,24382.5,1454.82,1160.41,7706.24,-2674.13,4626.08,2097.89,664.73,11070.8
Paraguay,PRY,1995,11172.5,659.97,0,0,-5065.42,11338.36,42.94,4156.36,30969.38
Paraguay,PRY,2000,11338.01,670.43,0,0,-6042.77,12019.41,40.76,3566.91,36952.46
Paraguay,PRY,2005,12650.48,825.09,0,0,-5220.08,13103.86,47.28,3113.14,38265.27
Paraguay,PRY,2010,14886.27,1044.96,0,0,-1999.54,11018.07,70.04,2665.58,43909.02
Paraguay,PRY,2014,17727.83,1178.98,0,0,-1677.55,11868.06,118.97,2332.2,54026.38
Peru,PER,1995,4029.49,1086.97,371.79,268.34,-1814.51,9436.27,235.86,4909.44,20621.4
Peru,PER,2000,4094.15,1110.66,471.03,241.26,-1943,11563.12,210.84,4501.58,19196.09
Peru,PER,2005,3830.63,2061.14,803.69,990.5,-1511.69,12790.42,175.06,4190.8,25010.8
Peru,PER,2010,4598.26,3161.82,1386.18,8918.51,-1717.05,15666.26,250.69,3901.84,33488.76
Peru,PER,2014,5021.98,4190.52,1805.8,9931.37,-2006.86,19522.12,297.64,3667.18,39501.59
Philippines,PHL,1995,3529.74,732.25,18.19,164.65,-814.16,6625.88,200.6,94.28,13614.58
Philippines,PHL,2000,2842.09,652,3.15,62.21,-964.71,5803.1,155.71,87.42,12771.45
Philippines,PHL,2005,2544.28,398.97,57.22,160.87,-836.63,6574.83,148.9,79.62,14102.35
Philippines,PHL,2010,3321.21,681.98,109.92,371.78,-426.57,7326.28,192.43,71.28,15641.37
Philippines,PHL,2014,3838.21,926.48,122.41,470.01,-471.18,7860.12,210.64,76.28,17790.26
Poland,POL,1995,2909.17,598.47,1124.22,478.5,-1379.89,20510.48,532.94,1018.36,56394.95
Poland,POL,2000,2629.8,698.11,492.91,247.96,-2830.89,27741.05,471.89,1037.51,72678.82
Poland,POL,2005,2471.61,832.2,1397.63,446.13,-4253.53,29788.16,475.09,1056.23,77225.12
Poland,POL,2010,2637.31,1144.37,2654.43,1593.64,-8615.68,37987.69,532.91,1074.49,107580.62
Poland,POL,2014,3168.15,1581.71,2128.06,1766.38,-8911.53,40084.76,623.3,1085.14,113405.85
Portugal,PRT,1995,5141.69,1448.74,1.48,87.61,-2997.45,79643.81,785.53,2171.45,189390.83
Portugal,PRT,2000,4572.75,2332.54,0,3.81,-10255.88,94810.68,670.97,2086.77,224238.25
Portugal,PRT,2005,4098.04,1713.18,0,85.63,-15756.62,106689.48,590.96,2015.63,236624.89
Portugal,PRT,2010,3708.93,1529.31,0,750.79,-26005.28,119244.24,632.25,1967.7,218552.37
Portugal,PRT,2014,4110.71,1566.3,0,833.39,-24308.45,117409.35,706.88,1972.08,172162.53
Qatar,QAT,1995,2474.43,837.51,117562.12,0,288685.34,131997.84,3.3,0,191777.69
Qatar,QAT,2000,2120.16,760.16,146622.1,0,379184.59,185449.42,3.48,0,470951.53
Qatar,QAT,2005,1119.32,490.53,490514.37,0,202744.92,153717.48,3.31,0,490921.34
Qatar,QAT,2010,485.02,189.72,496479.92,0,109551.65,181084.84,1.8,0,543007.69
Qatar,QAT,2014,665.1,311.51,659326.64,0,156323.14,217846.37,2.05,0,562649.81
Romania,ROU,1995,13551.3,704.51,2378.66,83.04,25.72,21692.82,1209.45,864.06,35484.59
Romania,ROU,2000,11114.21,728.31,1808.62,36.18,-1347.67,19358.82,801.46,873.01,33240.12
Romania,ROU,2005,11189.51,1788.75,1865.07,40.5,-2189.26,29757.56,653.98,922.61,52499.05
