Entity,Code,Year,Potatoes (tonnes per hectare),Sugar beet (tonnes per hectare)
United Kingdom,GBR,1667,10.5,
United Kingdom,GBR,1668,10.5,
United Kingdom,GBR,1669,10.5,
United Kingdom,GBR,1670,10.5,
United Kingdom,GBR,1671,10.5,
United Kingdom,GBR,1672,10.5,
United Kingdom,GBR,1673,10.5,
United Kingdom,GBR,1674,10.5,
United Kingdom,GBR,1675,10.5,
United Kingdom,GBR,1676,10.5,
United Kingdom,GBR,1677,10.5,
United Kingdom,GBR,1678,10.5,
United Kingdom,GBR,1679,10.5,
United Kingdom,GBR,1680,10.5,
United Kingdom,GBR,1681,10.5,
United Kingdom,GBR,1682,10.5,
United Kingdom,GBR,1683,10.5,
United Kingdom,GBR,1684,10.5,
United Kingdom,GBR,1685,10.5,
United Kingdom,GBR,1686,10.5,
United Kingdom,GBR,1687,10.5,
United Kingdom,GBR,1688,10.5,
United Kingdom,GBR,1689,10.5,
United Kingdom,GBR,1690,10.5,
United Kingdom,GBR,1691,10.5,
United Kingdom,GBR,1692,10.5,
United Kingdom,GBR,1693,10.5,
United Kingdom,GBR,1694,10.5,
United Kingdom,GBR,1695,10.5,
United Kingdom,GBR,1696,10.5,
United Kingdom,GBR,1697,10.5,
United Kingdom,GBR,1698,10.5,
United Kingdom,GBR,1699,10.5,
United Kingdom,GBR,1700,10.5,
United Kingdom,GBR,1701,10.5,
United Kingdom,GBR,1702,10.5,
United Kingdom,GBR,1703,10.5,
United Kingdom,GBR,1704,10.5,
United Kingdom,GBR,1705,10.5,
United Kingdom,GBR,1706,10.5,
United Kingdom,GBR,1707,10.5,
United Kingdom,GBR,1708,10.5,
United Kingdom,GBR,1709,10.5,
United Kingdom,GBR,1710,10.5,
United Kingdom,GBR,1711,10.5,
United Kingdom,GBR,1712,10.5,
United Kingdom,GBR,1713,10.5,
United Kingdom,GBR,1714,10.5,
United Kingdom,GBR,1715,10.5,
United Kingdom,GBR,1716,10.5,
United Kingdom,GBR,1717,10.5,
United Kingdom,GBR,1718,10.5,
United Kingdom,GBR,1719,10.5,
United Kingdom,GBR,1720,10.5,
United Kingdom,GBR,1721,10.5,
United Kingdom,GBR,1722,10.5,
United Kingdom,GBR,1723,10.5,
United Kingdom,GBR,1724,10.5,
United Kingdom,GBR,1725,10.5,
United Kingdom,GBR,1726,10.5,
United Kingdom,GBR,1727,10.5,
United Kingdom,GBR,1728,10.5,
United Kingdom,GBR,1729,10.5,
United Kingdom,GBR,1730,10.5,
United Kingdom,GBR,1731,10.5,
United Kingdom,GBR,1732,10.5,
United Kingdom,GBR,1733,10.5,
United Kingdom,GBR,1734,10.5,
United Kingdom,GBR,1735,10.5,
United Kingdom,GBR,1736,10.5,
United Kingdom,GBR,1737,10.5,
United Kingdom,GBR,1738,10.5,
United Kingdom,GBR,1739,10.5,
United Kingdom,GBR,1740,10.5,
United Kingdom,GBR,1741,10.5,
United Kingdom,GBR,1742,10.5,
United Kingdom,GBR,1743,10.5,
United Kingdom,GBR,1744,10.5,
United Kingdom,GBR,1745,10.5,
United Kingdom,GBR,1746,10.5,
United Kingdom,GBR,1747,10.5,
United Kingdom,GBR,1748,10.5,
United Kingdom,GBR,1749,10.5,
United Kingdom,GBR,1750,10.5,
United Kingdom,GBR,1751,10.5,
United Kingdom,GBR,1752,10.5,
United Kingdom,GBR,1753,10.5,
United Kingdom,GBR,1754,10.5,
United Kingdom,GBR,1755,10.5,
United Kingdom,GBR,1756,10.5,
United Kingdom,GBR,1757,10.5,
United Kingdom,GBR,1758,10.5,
United Kingdom,GBR,1759,10.5,
United Kingdom,GBR,1760,10.5,
United Kingdom,GBR,1761,10.5,
United Kingdom,GBR,1762,10.5,
United Kingdom,GBR,1763,10.5,
United Kingdom,GBR,1764,10.5,
United Kingdom,GBR,1765,10.5,
United Kingdom,GBR,1766,10.5,
United Kingdom,GBR,1767,10.5,
United Kingdom,GBR,1768,10.5,
United Kingdom,GBR,1769,10.5,
United Kingdom,GBR,1770,10.5,
United Kingdom,GBR,1771,10.5,
United Kingdom,GBR,1772,10.5,
United Kingdom,GBR,1773,10.5,
United Kingdom,GBR,1774,10.5,
United Kingdom,GBR,1775,10.5,
United Kingdom,GBR,1776,10.5,
United Kingdom,GBR,1777,10.5,
United Kingdom,GBR,1778,10.5,
United Kingdom,GBR,1779,10.5,
United Kingdom,GBR,1780,10.5,
United Kingdom,GBR,1781,10.5,
United Kingdom,GBR,1782,10.5,
United Kingdom,GBR,1783,10.5,
United Kingdom,GBR,1784,10.5,
United Kingdom,GBR,1785,10.5,
United Kingdom,GBR,1786,10.5,
United Kingdom,GBR,1787,10.5,
United Kingdom,GBR,1788,10.5,
United Kingdom,GBR,1789,10.5,
United Kingdom,GBR,1790,10.5,
United Kingdom,GBR,1791,10.5,
United Kingdom,GBR,1792,10.5,
United Kingdom,GBR,1793,10.5,
United Kingdom,GBR,1794,10.5,
United Kingdom,GBR,1795,10.5,
United Kingdom,GBR,1796,10.5,
United Kingdom,GBR,1797,10.5,
United Kingdom,GBR,1798,10.5,
United Kingdom,GBR,1799,10.5,
United Kingdom,GBR,1800,10.5,
United Kingdom,GBR,1801,10.5,
United Kingdom,GBR,1802,10.5,
United Kingdom,GBR,1803,10.5,
United Kingdom,GBR,1804,10.5,
United Kingdom,GBR,1805,10.5,
United Kingdom,GBR,1806,10.5,
United Kingdom,GBR,1807,10.5,
United Kingdom,GBR,1808,10.5,
United Kingdom,GBR,1809,10.5,
United Kingdom,GBR,1810,10.5,
United Kingdom,GBR,1811,10.5,
United Kingdom,GBR,1812,10.5,
United Kingdom,GBR,1813,10.5,
United Kingdom,GBR,1814,10.5,
United Kingdom,GBR,1815,10.5,
United Kingdom,GBR,1816,10.5,
United Kingdom,GBR,1817,10.5,
United Kingdom,GBR,1818,10.5,
United Kingdom,GBR,1819,10.5,
United Kingdom,GBR,1820,10.5,
United Kingdom,GBR,1821,10.5,
United Kingdom,GBR,1822,10.5,
United Kingdom,GBR,1823,10.5,
United Kingdom,GBR,1824,10.5,
United Kingdom,GBR,1825,10.5,
United Kingdom,GBR,1826,10.5,
United Kingdom,GBR,1827,10.5,
United Kingdom,GBR,1828,10.5,
United Kingdom,GBR,1829,10.5,
United Kingdom,GBR,1830,10.5,
United Kingdom,GBR,1831,10.5,
United Kingdom,GBR,1832,10.5,
United Kingdom,GBR,1833,10.5,
United Kingdom,GBR,1834,10.5,
United Kingdom,GBR,1835,10.5,
United Kingdom,GBR,1836,10.5,
United Kingdom,GBR,1837,10.5,
United Kingdom,GBR,1838,10.5,
United Kingdom,GBR,1839,10.5,
United Kingdom,GBR,1840,10.5,
United Kingdom,GBR,1841,10.5,
United Kingdom,GBR,1842,10.5,
United Kingdom,GBR,1843,10.5,
United Kingdom,GBR,1844,10.5,
United Kingdom,GBR,1845,10.5,
United Kingdom,GBR,1846,10.5,
United Kingdom,GBR,1847,10.5,
United Kingdom,GBR,1848,10.5,
United Kingdom,GBR,1849,10.5,
United Kingdom,GBR,1850,10.5,
United Kingdom,GBR,1851,10.5,
United Kingdom,GBR,1852,10.5,
United Kingdom,GBR,1853,10.5,
United Kingdom,GBR,1854,10.5,
United Kingdom,GBR,1855,10.5,
United Kingdom,GBR,1856,10.5,
United Kingdom,GBR,1857,10.5,
United Kingdom,GBR,1858,10.5,
United Kingdom,GBR,1859,10.5,
United Kingdom,GBR,1860,10.5,
United Kingdom,GBR,1861,10.5,
United Kingdom,GBR,1862,10.5,
United Kingdom,GBR,1863,10.5,
United Kingdom,GBR,1864,10.5,
United Kingdom,GBR,1865,10.5,
United Kingdom,GBR,1866,10.5,
United Kingdom,GBR,1867,10.5,
United Kingdom,GBR,1868,10.5,
United Kingdom,GBR,1869,10.5,
United Kingdom,GBR,1870,10.5,
United Kingdom,GBR,1885,14.7,20.2
United Kingdom,GBR,1910,15.8,26.4
United Kingdom,GBR,1930,16.5,37.4
United Kingdom,GBR,1942,17.8,38.3
United Kingdom,GBR,1961,22.4785,35.064
United Kingdom,GBR,1962,22.7373,31.7529
United Kingdom,GBR,1963,21.5449,31.4
United Kingdom,GBR,1964,22.5343,35.2961
United Kingdom,GBR,1965,25.3354,37.2295
United Kingdom,GBR,1966,24.371,36.8098
United Kingdom,GBR,1967,25.113,37.4676
United Kingdom,GBR,1968,24.6542,38.0719
United Kingdom,GBR,1969,25.05,32.7722
United Kingdom,GBR,1970,27.636,34.3718
United Kingdom,GBR,1971,28.8955,41.5508
United Kingdom,GBR,1972,27.7854,32.9621
United Kingdom,GBR,1973,30.3034,38.234
United Kingdom,GBR,1974,31.6681,23.5157
United Kingdom,GBR,1975,23.4657,24.1768
United Kingdom,GBR,1976,21.5721,30.7039
United Kingdom,GBR,1977,28.5388,31.5941
United Kingdom,GBR,1978,34.241,33.75
United Kingdom,GBR,1979,31.8673,35.7608
United Kingdom,GBR,1980,34.4903,34.6479
United Kingdom,GBR,1981,32.3141,35.2143
United Kingdom,GBR,1982,35.8073,49.0441
United Kingdom,GBR,1983,30.1795,37.6633
United Kingdom,GBR,1984,37.0456,45.3015
United Kingdom,GBR,1985,35.8585,37.6341
United Kingdom,GBR,1986,35.8413,39.6924
United Kingdom,GBR,1987,37.8288,39.3596
United Kingdom,GBR,1988,38.074,41.2759
United Kingdom,GBR,1989,35.8262,41.1827
United Kingdom,GBR,1990,36.5161,40.732
United Kingdom,GBR,1991,35.4068,45.1353
United Kingdom,GBR,1992,43.387,51.5127
United Kingdom,GBR,1993,41.579,49.066
United Kingdom,GBR,1994,39.9956,44.7179
United Kingdom,GBR,1995,37.4503,43.0153
United Kingdom,GBR,1996,40.7441,52.3618
United Kingdom,GBR,1997,42.9656,56.551
United Kingdom,GBR,1998,39.1347,52.9206
United Kingdom,GBR,1999,40.1515,57.8361
United Kingdom,GBR,2000,39.9759,52.4798
United Kingdom,GBR,2001,40.297,47.0904
United Kingdom,GBR,2002,44.0886,56.5503
United Kingdom,GBR,2003,40.8138,56.5926
United Kingdom,GBR,2004,42.4781,58.7143
United Kingdom,GBR,2005,43.5153,58.6959
United Kingdom,GBR,2006,41.5887,56.4885
United Kingdom,GBR,2007,40.1926,53.864
United Kingdom,GBR,2008,41.6597,63.8591
United Kingdom,GBR,2009,44.4167,74.1842
United Kingdom,GBR,2010,43.8841,55.3136
United Kingdom,GBR,2011,43.2192,75.2566
United Kingdom,GBR,2012,30.557,60.7583
United Kingdom,GBR,2013,40.8993,72.0513
United Kingdom,GBR,2014,41.922,81.2931
